,depth,naw_temp,naw_sal,naw_den,saw_temp,saw_sal,saw_den
0,0,,,,,,
1,2,,,,,,
2,4,,,,,,
3,6,,,,,,
4,8,,,,,,
5,10,,,,,,
6,12,,,,,,
7,14,,,,,,
8,16,,,,,,
9,18,,,,,,
10,20,,,,,,
11,22,,,,,,
12,24,,,,,,
13,26,,,,,,
14,28,,,,,,
15,30,,,,,,
16,32,,,,,,
17,34,,,,,,
18,36,,,,,,
19,38,,,,,,
20,40,,,,,,
21,42,,,,,,
22,44,,,,,,
23,46,,,,,,
24,48,,,,,,
25,50,,,,,,
26,52,,,,,,
27,54,,,,,,
28,56,,,,,,
29,58,,,,,,
30,60,,,,,,
31,62,,,,,,
32,64,,,,,,
33,66,,,,,,
34,68,,,,,,
35,70,,,,,,
36,72,,,,,,
37,74,,,,,,
38,76,,,,,,
39,78,,,,,,
40,80,26.094663514308742,37.27680085258816,1024.5655189757622,23.75022762149248,36.284736395899266,1024.5488540095168
41,82,26.026598607465274,37.28661634923878,1024.5942607527556,23.44453832118719,36.283590988382876,1024.6376814124485
42,84,25.958533700621803,37.296431845889394,1024.623002529749,23.138849020881896,36.282445580866494,1024.7265088153804
43,86,25.887705195466616,37.306909633685834,1024.653060730272,22.801129508528565,36.276159751138465,1024.819650648376
44,88,25.814113091999705,37.318049712628095,1024.6844353543245,22.43137978412719,36.26473349919879,1024.9171069114354
45,90,25.740520988532793,37.32918979157036,1024.715809978377,22.061630059725818,36.25330724725912,1025.014563174495
46,92,25.66634046988698,37.346081989008404,1024.7515293825795,21.67422182513351,36.235214645403765,1025.1090833040585
47,94,25.592159951241165,37.36297418644645,1024.7872487867821,21.286813590541207,36.217122043548414,1025.2036034336218
48,96,25.50771121880333,37.37665764739756,1024.823738953795,20.910696195267665,36.199553756346376,1025.2939249890146
49,98,25.412994272573467,37.387132371861725,1024.8609998836187,20.545869639312887,36.18250978379765,1025.3800479702368
50,100,25.31827732634361,37.3976070963259,1024.898260813442,20.18104308335811,36.16546581124893,1025.466170951459
51,102,25.21887072912526,37.40093498077503,1024.9311413342646,20.111203454367686,36.161513224442366,1025.4816065734126
52,104,25.119464131906916,37.404262865224155,1024.9640218550871,20.041363825377264,36.1575606376358,1025.4970421953665
53,106,25.02005753468857,37.40759074967328,1024.9969023759097,19.97152419638684,36.153608050829234,1025.5124778173201
54,108,24.920650937470224,37.41091863412241,1025.0297828967323,19.90168456739642,36.14965546402267,1025.527913439274
55,110,24.821244340251877,37.41424651857154,1025.0626634175549,19.831844938405997,36.1457028772161,1025.5433490612277
56,112,24.721837743033532,37.417574403020666,1025.0955439383774,19.762005309415574,36.14175029040954,1025.5587846831816
57,114,24.622431145815185,37.420902287469794,1025.1284244592,19.69216568042515,36.13779770360298,1025.5742203051352
58,116,24.52302454859684,37.42423017191892,1025.1613049800226,19.622326051434726,36.13384511679641,1025.589655927089
59,118,24.423617951378493,37.42755805636805,1025.1941855008452,19.552486422444304,36.129892529989846,1025.6050915490428
60,120,24.32421135416015,37.43088594081718,1025.2270660216677,19.48264679345388,36.12593994318328,1025.6205271709966
61,122,24.2248047569418,37.434213825266305,1025.2599465424903,19.41280716446346,36.121987356376714,1025.6359627929503
62,124,24.125398159723456,37.43754170971543,1025.2928270633129,19.342967535473036,36.11803476957015,1025.6513984149042
63,126,24.0217293275204,37.43625947361594,1025.3230397953048,19.276711201378575,36.11375839503433,1025.665419075634
64,128,23.913798260332637,37.43036711696784,1025.350584738466,19.214038162180078,36.10915823276925,1025.6780247751399
65,130,23.805867193144874,37.42447476031973,1025.3781296816271,19.151365122981577,36.104558070504176,1025.6906304746456
66,132,23.69793612595711,37.41858240367163,1025.4056746247884,19.08869208378308,36.099957908239105,1025.7032361741515
67,134,23.590005058769346,37.412690047023524,1025.4332195679497,19.026019044584583,36.09535774597403,1025.7158418736574
68,136,23.482073991581583,37.40679769037542,1025.4607645111107,18.963346005386082,36.09075758370895,1025.7284475731633
69,138,23.374142924393816,37.400905333727316,1025.488309454272,18.900672966187585,36.08615742144387,1025.741053272669
70,140,23.266211857206052,37.39501297707921,1025.515854397433,18.837999926989085,36.081557259178794,1025.753658972175
71,142,23.15828079001829,37.38912062043111,1025.5433993405943,18.775326887790587,36.076957096913716,1025.7662646716808
72,144,23.050349722830525,37.383228263783,1025.5709442837554,18.712653848592087,36.072356934648646,1025.7788703711867
73,146,22.94241865564276,37.3773359071349,1025.5984892269166,18.64998080939359,36.06775677238357,1025.7914760706924
74,148,22.834487588454998,37.371443550486795,1025.6260341700777,18.58730777019509,36.06315661011849,1025.8040817701983
75,150,22.726556521267234,37.36555119383869,1025.653579113239,18.524634730996592,36.05855644785341,1025.8166874697042
76,152,22.60349615569292,37.35258725052087,1025.678857648131,18.468386725764688,36.05350736288148,1025.8269332556652
77,154,22.480435790118605,37.33962330720305,1025.7041361830231,18.412138720532784,36.04845827790955,1025.8371790416259
78,156,22.35737542454429,37.32665936388522,1025.7294147179152,18.355890715300877,36.043409192937624,1025.8474248275868
79,158,22.234315058969976,37.3136954205674,1025.7546932528073,18.299642710068973,36.038360107965694,1025.8576706135477
80,160,22.11125469339566,37.30073147724958,1025.7799717876994,18.24339470483707,36.033311022993765,1025.8679163995087
81,162,21.988194327821347,37.287767533931756,1025.8052503225915,18.187146699605165,36.028261938021835,1025.8781621854694
82,164,21.865133962247032,37.274803590613935,1025.8305288574838,18.13089869437326,36.02321285304991,1025.8884079714303
83,166,21.742073596672718,37.26183964729611,1025.855807392376,18.074650689141354,36.01816376807798,1025.8986537573912
84,168,21.619013231098403,37.248875703978285,1025.881085927268,18.01840268390945,36.01311468310605,1025.908899543352
85,170,21.49595286552409,37.235911760660464,1025.9063644621601,17.962154678677546,36.008065598134124,1025.9191453293129
86,172,21.372892499949774,37.22294781734264,1025.9316429970522,17.905906673445642,36.003016513162194,1025.9293911152738
87,174,21.24983213437546,37.20998387402482,1025.9569215319443,17.84965866821374,35.997967428190265,1025.9396369012347
88,176,21.130262162067492,37.19620271142039,1025.9798475646564,17.796112331106624,35.99308253734368,1025.9491765756823
89,178,21.014182583025875,37.18160432952936,1026.0004210951888,17.7452676621243,35.98836184062245,1025.9580101386168
90,180,20.89810300398426,37.16700594763833,1026.020994625721,17.694422993141973,35.983641143901224,1025.9668437015512
91,182,20.782023424942643,37.152407565747296,1026.0415681562533,17.643578324159648,35.978920447179995,1025.9756772644857
92,184,20.665943845901026,37.13780918385626,1026.0621416867857,17.592733655177323,35.97419975045876,1025.9845108274203
93,186,20.54986426685941,37.123210801965236,1026.0827152173179,17.541888986194998,35.96947905373753,1025.9933443903547
94,188,20.433784687817795,37.1086124200742,1026.1032887478502,17.491044317212673,35.9647583570163,1026.0021779532892
95,190,20.317705108776178,37.09401403818317,1026.1238622783824,17.440199648230347,35.960037660295065,1026.0110115162236
96,192,20.20162552973456,37.07941565629214,1026.1444358089147,17.389354979248026,35.955316963573836,1026.0198450791581
97,194,20.085545950692943,37.06481727440111,1026.165009339447,17.3385103102657,35.95059626685261,1026.0286786420925
98,196,19.96946637165133,37.050218892510074,1026.1855828699793,17.287665641283375,35.94587557013138,1026.037512205027
99,198,19.85338679260971,37.03562051061905,1026.2061564005114,17.23682097230105,35.94115487341014,1026.0463457679614
100,200,19.737307213568094,37.02102212872801,1026.2267299310438,17.185976303318725,35.93643417668891,1026.055179330896
101,202,19.645748366352276,37.00438957361887,1026.2380438109583,17.143597032755054,35.93209184643175,1026.0620057413853
102,204,19.554189519136457,36.98775701850974,1026.2493576908728,17.101217762191382,35.927749516174586,1026.0688321518744
103,206,19.46263067192064,36.9711244634006,1026.2606715707875,17.05883849162771,35.923407185917426,1026.0756585623637
104,208,19.37107182470482,36.954491908291466,1026.271985450702,17.01645922106404,35.91906485566026,1026.082484972853
105,210,19.279512977489006,36.937859353182326,1026.2832993306165,16.974079950500368,35.9147225254031,1026.0893113833422
106,212,19.187954130273187,36.92122679807319,1026.294613210531,16.931700679936696,35.91038019514593,1026.0961377938315
107,214,19.09639528305737,36.90459424296405,1026.3059270904455,16.889321409373025,35.90603786488877,1026.1029642043209
108,216,19.00483643584155,36.88796168785492,1026.3172409703602,16.846942138809354,35.90169553463161,1026.10979061481
109,218,18.913277588625732,36.87132913274578,1026.3285548502747,16.804562868245682,35.89735320437445,1026.1166170252993
110,220,18.821718741409914,36.854696577636645,1026.3398687301892,16.76218359768201,35.89301087411728,1026.1234434357887
111,222,18.730159894194095,36.838064022527504,1026.3511826101037,16.71980432711834,35.88866854386012,1026.1302698462778
112,224,18.638601046978277,36.82143146741837,1026.3624964900182,16.677425056554668,35.884326213602954,1026.137096256767
113,226,18.57571053697959,36.81054829721872,1026.3705515992815,16.637102552790854,35.88026842405563,1026.1435571953443
114,228,18.54148836419803,36.80541451192856,1026.3753479378934,16.598836815826896,35.87649517521814,1026.1496526620092
115,230,18.50726619141647,36.800280726638405,1026.380144276505,16.56057107886294,35.872721926380656,1026.155748128674
116,232,18.47304401863491,36.79514694134825,1026.3849406151169,16.52230534189898,35.868948677543166,1026.161843595339
117,234,18.43882184585335,36.79001315605809,1026.3897369537287,16.484039604935024,35.865175428705676,1026.1679390620038
118,236,18.40459967307179,36.78487937076793,1026.3945332923404,16.445773867971067,35.861402179868186,1026.174034528669
119,238,18.370377500290232,36.77974558547777,1026.3993296309523,16.40750813100711,35.8576289310307,1026.1801299953338
120,240,18.33615532750867,36.774611800187614,1026.4041259695641,16.36924239404315,35.85385568219321,1026.1862254619987
121,242,18.30193315472711,36.76947801489746,1026.4089223081758,16.330976657079194,35.85008243335572,1026.1923209286635
122,244,18.26771098194555,36.764344229607296,1026.4137186467876,16.292710920115237,35.84630918451823,1026.1984163953284
123,246,18.23348880916399,36.75921044431714,1026.4185149853995,16.25444518315128,35.84253593568075,1026.2045118619935
124,248,18.199266636382433,36.75407665902698,1026.4233113240111,16.216179446187322,35.83876268684326,1026.2106073286584
125,250,18.16504446360087,36.74894287373682,1026.428107662623,16.177913709223365,35.83498943800577,1026.2167027953233
126,252,18.13794349990746,36.74485856459552,1026.4317955467288,16.145964607920174,35.83180673332645,1026.2216354571221
127,254,18.11084253621405,36.74077425545421,1026.4354834308347,16.114015506616983,35.82862402864714,1026.226568118921
